"Gene Symbol","MGI Gene Id","Colony Id","Sex","Zygosity","Phenotype","Comment"
"Gkap1","MGI:1891694","GKAGB","both","homozygote","Viable"
"Flywch2","MGI:1924167","FLYTB","both","homozygote","Viable"
"Farsa","MGI:1913840","MDRV","both","homozygote","Lethal"
"Lrrc23","MGI:1315192","MGQT","both","homozygote","Viable"
"Sra1","MGI:1344414","TCPA0084Cre","both","homozygote","Viable"
"4933427D14Rik","MGI:1921727","JR24041","both","homozygote","Lethal"
"Adgrf5","MGI:2182928","TCPA0138Cre","both","homozygote","Viable"
"Pgap2","MGI:2385286","PMAY","both","homozygote","Lethal"
"Man2b2","MGI:1195262","MUAJ","both","homozygote","Viable"
"Arhgef5","MGI:1858952","TCPA0703Cre","both","homozygote","Viable"
"Dnpep","MGI:1278328","MGJA","both","homozygote","Viable"
"Defb22","MGI:3045368","MFXV","both","homozygote","Viable"
"Man2b2","MGI:1195262","TCPA0036Cre","both","homozygote","Viable"
"Ahrr","MGI:1333776","JR18561","both","homozygote","Viable"
"Rnasek","MGI:106369","MUGJ","both","homozygote","Lethal"
"Wee2","MGI:3027899","JR25926","both","homozygote","Viable"
"Vps25","MGI:106354","TCPA0147Cre","both","homozygote","Lethal"
"Tgm6","MGI:3044321","MGKM","both","homozygote","Viable"
"Ddx41","MGI:1920185","BL3367-1","both","homozygote","Lethal"
"Slc44a1","MGI:2140592","SLEEB","both","homozygote","Viable"
"Ppfia2","MGI:2443834","H-PPFIA2-D04-TM1B","both","homozygote","Viable"
"4921536K21Rik","MGI:1914680","MFCN","both","homozygote","Viable"
"Serpina1f","MGI:1915598","JR27570","both","homozygote","Viable"
"Rad21l","MGI:3652039","JR22102","both","homozygote","Viable"
"Psph","MGI:97788","BL3199-1","both","homozygote","Lethal"
"Myo3a","MGI:2183924","JR26499","both","homozygote","Viable"
"Ap4e1","MGI:1336993","APEXB","both","homozygote","Viable"
"Phyh","MGI:891978","TCPM0717Cre","both","homozygote","Viable"
"Nr6a1","MGI:1352459","NRADB","both","homozygote","Lethal"
"Has1","MGI:106590","H-HAS1-A04-TM1B","both","homozygote","Viable"
"Smpd4","MGI:1924876","MUBD","both","homozygote","Subviable"
"Abhd14a","MGI:1915894","MGNJ","both","homozygote","Viable"
"Ccdc28a","MGI:2443508","JR27040","both","homozygote","Viable"
"Mthfd1","MGI:1342005","MTHFB","both","homozygote","Lethal"
"Ovgp1","MGI:106661","H-OVGP1-H07-TM1B","both","homozygote","Viable"
"Rin3","MGI:2385708","JR25866","both","homozygote","Viable"
"Primpol","MGI:3603756","H-Ccdc111-E02-TM1B","both","homozygote","Viable"
